,BTCUSDT price,ETHUSDT price,XRPUSDT price,LTCUSDT price,RNDRUSDT price,MATICUSDT price,CFXUSDT price,DOGEUSDT price,SOLUSDT price,INJUSDT price,LDOUSDT price,FTMUSDT price,OPUSDT price,ADAUSDT price
BTCUSDT price,1.0,0.8778472667917797,0.6307687400591195,0.7074036731012033,0.42641107035742715,0.7350127366748731,0.35456442072580024,0.6271082847819863,0.6966556709627775,0.45300623358395065,0.40721826869986655,0.6749305508132613,0.6029202340344146,0.7355253769297032
ETHUSDT price,0.8778472667917797,1.0,0.6422451775619531,0.7222865119441402,0.42473755803979657,0.7651555638395428,0.33576632433657805,0.6486234332119578,0.70986269201861,0.4438308686333324,0.4289774859748704,0.6868797616444244,0.6228371715758515,0.75531235908118
XRPUSDT price,0.6307687400591195,0.6422451775619531,1.0,0.5858010272595864,0.3289900647628196,0.6035820654852818,0.27141431386047893,0.5470472516042298,0.5674620776143616,0.37058552416923235,0.32303104344904615,0.5659051380798172,0.48695518820932016,0.635315449310346
LTCUSDT price,0.7074036731012033,0.7222865119441402,0.5858010272595864,1.0,0.3726889800954857,0.666319483013034,0.31308513199397525,0.5967817139464188,0.6230811680722392,0.4124918063276371,0.36540850242543904,0.6344856667754861,0.549322454162532,0.6858256722256402
RNDRUSDT price,0.42641107035742715,0.42473755803979657,0.3289900647628196,0.3726889800954857,1.0,0.39509214414584093,0.21674673722111942,0.3367110688064827,0.3714738324223555,0.2735034813543284,0.23041868812074226,0.3895659187950038,0.3367353235841025,0.3966875198856957
MATICUSDT price,0.7350127366748731,0.7651555638395428,0.6035820654852818,0.666319483013034,0.39509214414584093,1.0,0.32621520316835356,0.620967163008339,0.6873041140802741,0.43845357948256203,0.38776103772638765,0.6822034356154679,0.5920296600821185,0.7133688673266745
CFXUSDT price,0.35456442072580024,0.33576632433657805,0.27141431386047893,0.31308513199397525,0.21674673722111942,0.32621520316835356,1.0,0.2749292958397878,0.30157394609181576,0.2407191706971327,0.2048434722678581,0.3322229032367941,0.28075580516377624,0.321598819527496
DOGEUSDT price,0.6271082847819863,0.6486234332119578,0.5470472516042298,0.5967817139464188,0.3367110688064827,0.620967163008339,0.2749292958397878,1.0,0.5958287819192513,0.3908552314179334,0.3296596030574517,0.5901268275767677,0.5086798996222553,0.6358688021224116
SOLUSDT price,0.6966556709627775,0.70986269201861,0.5674620776143616,0.6230811680722392,0.3714738324223555,0.6873041140802741,0.30157394609181576,0.5958287819192513,1.0,0.41077089453590754,0.3594150724026558,0.6313338981518738,0.5477356386121747,0.6815149424329976
INJUSDT price,0.45300623358395065,0.4438308686333324,0.37058552416923235,0.4124918063276371,0.2735034813543284,0.43845357948256203,0.2407191706971327,0.3908552314179334,0.41077089453590754,1.0,0.2612590993197419,0.44029897833379444,0.366472072650756,0.43600293812418844
LDOUSDT price,0.40721826869986655,0.4289774859748704,0.32303104344904615,0.36540850242543904,0.23041868812074226,0.38776103772638765,0.2048434722678581,0.3296596030574517,0.3594150724026558,0.2612590993197419,1.0,0.38115237424961984,0.3503723224153518,0.38224104003568715
FTMUSDT price,0.6749305508132613,0.6868797616444244,0.5659051380798172,0.6344856667754861,0.3895659187950038,0.6822034356154679,0.3322229032367941,0.5901268275767677,0.6313338981518738,0.44029897833379444,0.38115237424961984,1.0,0.5732976270845962,0.6802039190346582
OPUSDT price,0.6029202340344146,0.6228371715758515,0.48695518820932016,0.549322454162532,0.3367353235841025,0.5920296600821185,0.28075580516377624,0.5086798996222553,0.5477356386121747,0.366472072650756,0.3503723224153518,0.5732976270845962,1.0,0.5936071497823305
ADAUSDT price,0.7355253769297032,0.75531235908118,0.635315449310346,0.6858256722256402,0.3966875198856957,0.7133688673266745,0.321598819527496,0.6358688021224116,0.6815149424329976,0.43600293812418844,0.38224104003568715,0.6802039190346582,0.5936071497823305,1.0
